Year,Lake,Species,Michigan (MI),New York (NY),Ohio (OH),Pennsylvania (PA),U.S. Total,Canada (ONT),Grand Total,Comments
1991,Erie,Freshwater Drum,0,0,503,12,515,296,811,
1992,Erie,Freshwater Drum,0,0,604,13,617,282,899,
1993,Erie,Freshwater Drum,1,0,774,12,787,372,1159,
1994,Erie,Freshwater Drum,0,0,739,22,761,444,1205,
1995,Erie,Freshwater Drum,40,0,692,19,751,279,1030,
1996,Erie,Freshwater Drum,48,0,552,0.234,600.234,157,757.234,
1997,Erie,Freshwater Drum,9,0,705,1.117,715.117,166,881.117,ONT: Data is Processor weight (thousands of pounds)
1998,Erie,Freshwater Drum,25,0,554,0.628,579.628,155,734.628,
1999,Erie,Freshwater Drum,0,0,35,0.677,35.677,161,196.677,
2000,Erie,Freshwater Drum,,,429,0.567,429.567,97,526.567,Canadian data is processor weight
2001,Erie,Freshwater Drum,2.935,,285,0.381,288.316,79,367.316,Canadian data is processor weight
2002,Erie,Freshwater Drum,4.035,249,0,0.389,253.424,84,337.424,Canadian data is landed weight
2003,Erie,Freshwater Drum,,,261,0.936,261.936,66,327.936,Canadian data is landed weight
2004,Erie,Freshwater Drum,,,296,1.486,297.486,76,373.486,Canadian data is landed weight
2005,Erie,Freshwater Drum,0.331,439,3,3.05,445.381,136,581.381,Canadian data is landed weight
2006,Erie,Freshwater Drum,7.876,0,412,2.775,422.651,117,539.651,
2007,Erie,Freshwater Drum,67.072,,321,3.486,391.558,40,431.558,
2008,Erie,Freshwater Drum,137.304,,424,3.73,565.034,68,633.034,
2009,Erie,Freshwater Drum,116.384,0,543,6.648,666.032,191,857.032,
2010,Erie,Freshwater Drum,130.533,,492,2.04,624.573,164,788.573,
2011,Erie,Freshwater Drum,227.873,,438.581,0.081,666.535,276,942.535,
2012,Erie,Freshwater Drum,137.677,0,514.31,0.076,652.063,87,739.063,
2013,Erie,Freshwater Drum,73.161,0,453.731,,526.892,88.447,615.339,
2014,Erie,Freshwater Drum,81.734,,371.623,,453.357,136.562,589.919,
2015,Erie,Freshwater Drum,128.51,,903.341,3.4,1035.251,230.319,1265.57,
2016,Erie,Freshwater Drum,17.282,,689.474,,706.756,302.247,1009.003,
2017,Erie,Freshwater Drum,9.777,,510.902,,520.679,258.059,778.738,
2018,Erie,Freshwater Drum,4.549,,550.398,0.049,554.996,165.39,720.386,
2019,Erie,Freshwater Drum,13.909,,645.203,0.02,659.132,121.575,780.707,
2020,Erie,Freshwater Drum,1.397,,739.98,0.469,741.846,123.093,864.939,
1978,Erie,Gizzard Shad,0,1,1557,0,1558,0,1558,
1979,Erie,Gizzard Shad,0,0,1957,0,1957,0,1957,
1980,Erie,Gizzard Shad,0,1,487,6,494,1,495,
1981,Erie,Gizzard Shad,0,0,25,45,70,0,70,
1982,Erie,Gizzard Shad,76,1,162,8,247,4,251,
1983,Erie,Gizzard Shad,665,106,505,98,1374,0,1374,
1984,Erie,Gizzard Shad,1265,38,272,88,1663,0,1663,
1985,Erie,Gizzard Shad,878,14,23,1371,2286,14,2300,
1986,Erie,Gizzard Shad,0,0,10,547,557,0,557,
1987,Erie,Gizzard Shad,0,0,10,0,10,6,16,
1988,Erie,Gizzard Shad,0,0,9,140,149,1,150,
1989,Erie,Gizzard Shad,0,0,12,49,61,1,62,
1990,Erie,Gizzard Shad,0,0,19,24,43,681,724,
1991,Erie,Gizzard Shad,0,0,403,3,406,18,424,
1992,Erie,Gizzard Shad,3,0,112,0,115,7,122,
1993,Erie,Gizzard Shad,0,0,403,8,411,98,509,
1994,Erie,Gizzard Shad,2,0,102,7,111,0,111,
1995,Erie,Gizzard Shad,0,0,56,22,78,0,78,
1996,Erie,Gizzard Shad,37,0,11,0,48,0,48,
1997,Erie,Gizzard Shad,24,0,336,0,360,5,365,ONT: Data is Processor weight (thousands of pounds)
1998,Erie,Gizzard Shad,5,0,172,0,177,75,252,
1999,Erie,Gizzard Shad,6,0,105,0,111,19,130,
2000,Erie,Gizzard Shad,5,,3,,8,51,59,Canadian data is processor weight
2001,Erie,Gizzard Shad,0.055,,2,,2.055,49,51.055,Canadian data is processor weight
2002,Erie,Gizzard Shad,6.655,545,,,551.655,1,552.655,Canadian data is landed weight
2003,Erie,Gizzard Shad,0,,0,,0,11,11,Canadian data is landed weight
2004,Erie,Gizzard Shad,5.12,,86,,91.12,0,91.12,Canadian data is landed weight
2005,Erie,Gizzard Shad,14.91,220,,,234.91,68,302.91,Canadian data is landed weight
2006,Erie,Gizzard Shad,52.382,,0,,52.382,6,58.382,
2007,Erie,Gizzard Shad,242.695,,55,,297.695,0,297.695,
2008,Erie,Gizzard Shad,134.008,,38,,172.008,3,175.008,
2009,Erie,Gizzard Shad,122.379,,10,,132.379,8,140.379,
2010,Erie,Gizzard Shad,,,15,,15,31,46,
2011,Erie,Gizzard Shad,,,5.921,0,5.921,14,19.921,
2012,Erie,Gizzard Shad,110.8,0,30.215,0,141.015,25,166.015,
2013,Erie,Gizzard Shad,40.05,1,0.659,0,41.709,2.253,43.962,
2014,Erie,Gizzard Shad,31.8,,2.874,,34.674,1.33,36.004,
2015,Erie,Gizzard Shad,0.05,,24.293,0,24.343,3.551,27.894,
2016,Erie,Gizzard Shad,,,91.087,,91.087,,91.087,
2017,Erie,Gizzard Shad,40.2,,446.032,,486.232,0.747,486.979,
2018,Erie,Gizzard Shad,118,,131.815,,249.815,0.976,250.791,
2019,Erie,Gizzard Shad,6.427,,24.943,,31.37,0.406,31.776,
2020,Erie,Gizzard Shad,,,39.453,,39.453,0.496,39.949,
1929,Erie,Goldfish,12,,10,,22,,22,
1930,Erie,Goldfish,16,,64,,80,,80,
1931,Erie,Goldfish,34,,57,,91,,91,
1932,Erie,Goldfish,54,,44,,98,,98,
1933,Erie,Goldfish,20,,80,,100,,100,
1934,Erie,Goldfish,8,,60,,68,,68,
1935,Erie,Goldfish,5,,153,,158,,158,
1936,Erie,Goldfish,6,,330,,336,,336,
1937,Erie,Goldfish,6,,261,,267,,267,
1938,Erie,Goldfish,4,,211,,215,,215,
1939,Erie,Goldfish,11,,153,,164,,164,
1940,Erie,Goldfish,2,,215,,217,,217,
1941,Erie,Goldfish,0,,159,,159,,159,
1942,Erie,Goldfish,0,,82,,82,,82,
1943,Erie,Goldfish,0,,33,,33,,33,
1944,Erie,Goldfish,1,,47,,48,,48,
1945,Erie,Goldfish,3,,11,,14,,14,
1946,Erie,Goldfish,2,,53,,55,,55,
1947,Erie,Goldfish,,,95,,95,,95,
1948,Erie,Goldfish,1,,119,,120,,120,
1949,Erie,Goldfish,,,171,,171,,171,
1950,Erie,Goldfish,1,,105,,106,,106,
1951,Erie,Goldfish,,,126,,126,,126,
1952,Erie,Goldfish,0,,100,,100,,100,
1953,Erie,Goldfish,,,98,,98,,98,
1954,Erie,Goldfish,13,,82,,95,,95,
1955,Erie,Goldfish,,,100,,100,,100,
1956,Erie,Goldfish,0,,144,,144,,144,
1957,Erie,Goldfish,,,135,,135,,135,
1958,Erie,Goldfish,,,157,,157,,157,
1959,Erie,Goldfish,4,,100,,104,,104,
1960,Erie,Goldfish,,,198,,198,,198,
1961,Erie,Goldfish,,,293,,293,,293,
1962,Erie,Goldfish,,,350,,350,,350,
1963,Erie,Goldfish,,,172,,172,,172,
1964,Erie,Goldfish,,,159,,159,,159,
1965,Erie,Goldfish,,,168,,168,,168,
1966,Erie,Goldfish,,,135,,135,,135,
1967,Erie,Goldfish,,,94,,94,,94,
1968,Erie,Goldfish,,,107,,107,,107,
1969,Erie,Goldfish,,,99,,99,,99,
1970,Erie,Goldfish,,,163,,163,,163,
1971,Erie,Goldfish,,,80,,80,,80,
1972,Erie,Goldfish,,,42,,42,,42,
1973,Erie,Goldfish,,,32,,32,,32,
1974,Erie,Goldfish,,,54,,54,,54,
1975,Erie,Goldfish,,,56,,56,,56,
1976,Erie,Goldfish,,,134,,134,,134,OH: fish by-product (fish meal) markets expanded 
1977,Erie,Goldfish,,,550,,550,,550,
1978,Erie,Goldfish,0,0,758,0,758,0,758,
1979,Erie,Goldfish,0,0,197,0,197,0,197,
1980,Erie,Goldfish,0,0,83,0,83,0,83,
1981,Erie,Goldfish,0,0,7,0,7,0,7,
1982,Erie,Goldfish,0,0,11,0,11,0,11,
1983,Erie,Goldfish,0,0,6,0,6,0,6,
1984,Erie,Goldfish,0,0,7,0,7,0,7,
1985,Erie,Goldfish,0,0,10,0,10,0,10,
1986,Erie,Goldfish,0,0,8,0,8,0,8,
1987,Erie,Goldfish,1,0,15,0,16,0,16,
1988,Erie,Goldfish,0,0,12,0,12,0,12,
1989,Erie,Goldfish,3,0,14,0,17,0,17,
1990,Erie,Goldfish,1,0,31,0,32,0,32,
1991,Erie,Goldfish,8,0,31,0,39,0,39,
1992,Erie,Goldfish,1,0,26,0,27,0,27,
1993,Erie,Goldfish,1,0,9,0,10,0,10,
1994,Erie,Goldfish,0,0,12,0,12,0,12,
1995,Erie,Goldfish,1,0,9,0,10,0,10,
1996,Erie,Goldfish,7,0,14,0,21,0,21,
1997,Erie,Goldfish,10,0,11,0,21,0,21,
1998,Erie,Goldfish,7,0,8,0,15,0,15,
1999,Erie,Goldfish,0,0,21,0,21,0,21,
2000,Erie,Goldfish,3,,19,,22,,22,
2001,Erie,Goldfish,8.281,,19,,27.281,,27.281,
2002,Erie,Goldfish,4.66,11,,,15.66,,15.66,
2003,Erie,Goldfish,0,,31,,31,,31,
2004,Erie,Goldfish,0,,20,,20,,20,
2005,Erie,Goldfish,78.333,35,,,113.333,10,123.333,
2006,Erie,Goldfish,67.171,,59,,126.171,,126.171,
2007,Erie,Goldfish,39.14,,29,,68.14,,68.14,
2008,Erie,Goldfish,84.361,,33,,117.361,,117.361,
2009,Erie,Goldfish,90.761,,62,,152.761,,152.761,
2010,Erie,Goldfish,77.55,,60,,137.55,,137.55,
2011,Erie,Goldfish,84.857,,69.925,,154.782,,154.782,
2012,Erie,Goldfish,57.041,,42.032,,99.073,0,99.073,
2013,Erie,Goldfish,28.146,,75.539,,103.685,,103.685,
2014,Erie,Goldfish,34.054,,33.874,,67.928,0,67.928,
2015,Erie,Goldfish,88.791,,25.133,,113.924,,113.924,
2016,Erie,Goldfish,86.818,,31.477,,118.295,,118.295,
2017,Erie,Goldfish,28.082,,14.466,,42.548,,42.548,
2018,Erie,Goldfish,11.428,,34.64,,46.068,,46.068,
2019,Erie,Goldfish,44.273,,34.579,,78.852,,78.852,
2020,Erie,Goldfish,5.25,,10.054,,15.304,,15.304,
2010,Erie,Gar,0.052,,,,0.052,,0.052,
1879,Erie,Lake Sturgeon,,,,,1970,142,2112,
1880,Erie,Lake Sturgeon,,,,,,213,213,
1881,Erie,Lake Sturgeon,,,,,,180,180,
1882,Erie,Lake Sturgeon,,,,,,159,159,
1883,Erie,Lake Sturgeon,,,,,,223,223,
1884,Erie,Lake Sturgeon,,,,,,330,330,
1885,Erie,Lake Sturgeon,91,3723,522,392,4728,459,5187,
1886,Erie,Lake Sturgeon,,,,,,350,350,
1887,Erie,Lake Sturgeon,,,,,,610,610,
1888,Erie,Lake Sturgeon,,,,,,470,470,
1889,Erie,Lake Sturgeon,2,156,410,677,1245,412,1656,
1890,Erie,Lake Sturgeon,33,1710,230,106,2079,581,2660,
1891,Erie,Lake Sturgeon,22,,,,,388,388,
1892,Erie,Lake Sturgeon,14,,,,,362,362,
1893,Erie,Lake Sturgeon,17,,,,794,357,1151,
1894,Erie,Lake Sturgeon,13,,,,,391,391,
1895,Erie,Lake Sturgeon,13,,,,,320,320,
1896,Erie,Lake Sturgeon,56,,,,,218,218,
1897,Erie,Lake Sturgeon,46,133,84,35,298,251,549,
1898,Erie,Lake Sturgeon,47,,,,,285,285,
1899,Erie,Lake Sturgeon,41,627,50,100,818,142,960,
1900,Erie,Lake Sturgeon,48,,,,,169,169,
1901,Erie,Lake Sturgeon,27,,,,,168,168,
1902,Erie,Lake Sturgeon,17,,,,,145,145,
1903,Erie,Lake Sturgeon,17,223,8,61,310,135,445,
1904,Erie,Lake Sturgeon,16,,,,,112,112,
1905,Erie,Lake Sturgeon,8,,,,,74,74,
1906,Erie,Lake Sturgeon,10,,,,,66,66,
1907,Erie,Lake Sturgeon,11,,,,,52,52,
1908,Erie,Lake Sturgeon,7,42,5,8,62,108,170,
1909,Erie,Lake Sturgeon,,,,,,47,47,
1910,Erie,Lake Sturgeon,,,,,,61,61,
1911,Erie,Lake Sturgeon,,,,,,68,68,
1912,Erie,Lake Sturgeon,2,,,,,52,52,
1913,Erie,Lake Sturgeon,1,4,1,8,,48,48,OH:Records cover only part of the fishing season.
1914,Erie,Lake Sturgeon,0,9,6,6,21,56,77,
1915,Erie,Lake Sturgeon,0,15,4,1,20,56,76,
1916,Erie,Lake Sturgeon,5,21,10,1,37,68,105,
1917,Erie,Lake Sturgeon,8,17,2,0,27,47,74,
1918,Erie,Lake Sturgeon,3,8,3,1,15,52,67,
1919,Erie,Lake Sturgeon,0,8,10,1,19,43,62,
1920,Erie,Lake Sturgeon,1,8,1,,10,0,10,ONT: Commercial fishing for lake sturgeon prohibited in Canadian waters. 
1921,Erie,Lake Sturgeon,,8,0,,8,,8,ONT: Commercial fishing for lake sturgeon prohibited in Canadian waters. 
1922,Erie,Lake Sturgeon,0,14,0,1,15,36,52,
1923,Erie,Lake Sturgeon,0,,0,0,0,41,41,
1924,Erie,Lake Sturgeon,0,6,0,1,7,44,51,
1925,Erie,Lake Sturgeon,,,,,0,42,42,
1926,Erie,Lake Sturgeon,,5,,2,7,50,57,
1927,Erie,Lake Sturgeon,,5,,1,6,41,47,
1928,Erie,Lake Sturgeon,,7,0,1,8,42,50,
1929,Erie,Lake Sturgeon,,2,0,0,2,27,29,MI: Commercial fishing for lake sturgeon prohibited. 
1930,Erie,Lake Sturgeon,,14,0,2,16,27,43,MI: Commercial fishing for lake sturgeon prohibited. 
1931,Erie,Lake Sturgeon,,14,1,1,16,22,38,MI: Commercial fishing for lake sturgeon prohibited. 
1932,Erie,Lake Sturgeon,,16,,1,17,27,44,MI: Commercial fishing for lake sturgeon prohibited. 
1933,Erie,Lake Sturgeon,,6,,1,7,24,31,MI: Commercial fishing for lake sturgeon prohibited. 
1934,Erie,Lake Sturgeon,,7,10,1,18,25,43,MI: Commercial fishing for lake sturgeon prohibited. 
1935,Erie,Lake Sturgeon,,6,12,0,18,22,40,MI: Commercial fishing for lake sturgeon prohibited. 
1936,Erie,Lake Sturgeon,,5,6,1,12,13,25,MI: Commercial fishing for lake sturgeon prohibited. 
1937,Erie,Lake Sturgeon,,3,2,0,5,13,18,MI: Commercial fishing for lake sturgeon prohibited. 
1938,Erie,Lake Sturgeon,,8,12,0,20,17,37,MI: Commercial fishing for lake sturgeon prohibited. 
1939,Erie,Lake Sturgeon,,7,9,1,17,18,35,MI: Commercial fishing for lake sturgeon prohibited. 
1940,Erie,Lake Sturgeon,,5,6,1,12,16,28,MI: Commercial fishing for lake sturgeon prohibited. 
1941,Erie,Lake Sturgeon,,6,5,1,12,14,26,MI: Commercial fishing for lake sturgeon prohibited. 
1942,Erie,Lake Sturgeon,,2,4,0,6,15,21,MI: Commercial fishing for lake sturgeon prohibited. 
1943,Erie,Lake Sturgeon,,1,2,1,4,12,16,MI: Commercial fishing for lake sturgeon prohibited. 
1944,Erie,Lake Sturgeon,,0,2,1,3,15,18,MI: Commercial fishing for lake sturgeon prohibited. 
1945,Erie,Lake Sturgeon,,0,1,0,1,11,12,MI: Commercial fishing for lake sturgeon prohibited. 
1946,Erie,Lake Sturgeon,,0,4,0,4,13,17,MI: Commercial fishing for lake sturgeon prohibited. 
1947,Erie,Lake Sturgeon,,0,10,0,10,18,28,MI: Commercial fishing for lake sturgeon prohibited. 
1948,Erie,Lake Sturgeon,,0,22,0,22,14,36,MI: Commercial fishing for lake sturgeon prohibited. 
1949,Erie,Lake Sturgeon,,0,19,0,19,13,32,MI: Commercial fishing for lake sturgeon prohibited. 
1950,Erie,Lake Sturgeon,,,7,0,7,11,18,MI: Commercial fishing for lake sturgeon prohibited. 
1951,Erie,Lake Sturgeon,,1,10,0,11,9,20,
1952,Erie,Lake Sturgeon,,0,6,0,6,8,14,
1953,Erie,Lake Sturgeon,,1,1,0,2,6,8,
1954,Erie,Lake Sturgeon,,0,3,0,3,7,10,
1955,Erie,Lake Sturgeon,,,5,0,5,22,27,
1956,Erie,Lake Sturgeon,,,2,9,11,17,28,
1957,Erie,Lake Sturgeon,,0,1,0,1,6,7,
1958,Erie,Lake Sturgeon,,0,1,0,1,5,6,
1959,Erie,Lake Sturgeon,,0,0,0,0,4,4,
1960,Erie,Lake Sturgeon,0,0,0,0,0,5,5,
1961,Erie,Lake Sturgeon,0,0,0,0,0,5,5,
1962,Erie,Lake Sturgeon,0,0,0,,0,2,2,
1963,Erie,Lake Sturgeon,0,0,0,,0,2,2,
1964,Erie,Lake Sturgeon,,,0,0,0,1,1,
1965,Erie,Lake Sturgeon,,0,0,,0,2,2,
1966,Erie,Lake Sturgeon,,,0,,0,1,1,
1967,Erie,Lake Sturgeon,,,0,,0,1,1,
1968,Erie,Lake Sturgeon,,0,0,,0,1,1,OH: closed its fishery
1969,Erie,Lake Sturgeon,,,,,0,1,1,
1970,Erie,Lake Sturgeon,,,,,0,0,0,
1971,Erie,Lake Sturgeon,,,,,,,,
1972,Erie,Lake Sturgeon,,,,,0,0,0,
1973,Erie,Lake Sturgeon,,0,,,0,0,0,
1974,Erie,Lake Sturgeon,,,,,0,0,0,
1975,Erie,Lake Sturgeon,,,,,0,0,0,
1976,Erie,Lake Sturgeon,,,,,0,1,1,
1977,Erie,Lake Sturgeon,,,,,0,5,5,
1978,Erie,Lake Sturgeon,0,0,0,0,0,2,2,
1979,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1980,Erie,Lake Sturgeon,0,0,0,0,0,1,1,
1981,Erie,Lake Sturgeon,0,0,0,0,0,1,1,
1982,Erie,Lake Sturgeon,0,0,0,0,0,1,1,
1983,Erie,Lake Sturgeon,0,0,0,0,0,2,2,
1984,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1985,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1986,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1987,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1988,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1989,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1990,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1991,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1992,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1993,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1994,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1995,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1996,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1997,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1998,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1999,Erie,Lake Sturgeon,0,0,0,0,0,0,0,
1978,Erie,Lake Trout,0,0,0,0,0,0,0,
1979,Erie,Lake Trout,0,0,0,0,0,0,0,
1980,Erie,Lake Trout,0,0,0,3,3,1,4,
1981,Erie,Lake Trout,0,0,0,0,0,4,4,
1982,Erie,Lake Trout,0,0,0,0,0,3,3,
1983,Erie,Lake Trout,0,0,0,0,0,0,0,
1984,Erie,Lake Trout,0,0,0,0,0,1,1,
1985,Erie,Lake Trout,0,0,0,0,0,1,1,
1986,Erie,Lake Trout,0,0,0,0,0,0,0,
1987,Erie,Lake Trout,0,0,0,0,0,0,0,
1988,Erie,Lake Trout,0,0,0,0,0,0,0,
1989,Erie,Lake Trout,0,0,0,0,0,0,0,
1990,Erie,Lake Trout,0,0,0,0,0,0,0,
1991,Erie,Lake Trout,0,0,0,0,0,0,0,
1992,Erie,Lake Trout,0,0,0,0,0,0,0,
1993,Erie,Lake Trout,0,0,0,0,0,0,0,
1994,Erie,Lake Trout,0,0,0,0,0,1,1,
1995,Erie,Lake Trout,0,0,0,0,0,0,0,
1996,Erie,Lake Trout,0,0,0,0,0,0,0,
1997,Erie,Lake Trout,0,0,0,0,0,0,0,
1998,Erie,Lake Trout,0,0,0,0,0,0,0,
1999,Erie,Lake Trout,0,0,0,0,0,0,0,
2000,Erie,Lake Trout,,,,,,,,
2001,Erie,Lake Trout,,,,,,,,
2002,Erie,Lake Trout,,,,,,,,
2003,Erie,Lake Trout,,,,,,,,
2004,Erie,Lake Trout,,,,,,,,
2005,Erie,Lake Trout,,,,,,,,
2006,Erie,Lake Trout,,,,,,,,
2007,Erie,Lake Trout,,,,,,,,
2008,Erie,Lake Trout,,,,,,,,
2009,Erie,Lake Trout,,,,0,0,,0,
2010,Erie,Lake Trout,,,,0,0,0,0,
2011,Erie,Lake Trout,,,,,,,,
2012,Erie,Lake Trout,,,,,,,,
2013,Erie,Lake Trout,,,,,,,,
2014,Erie,Lake Trout,,,,,,,,
2015,Erie,Lake Trout,,,,61,61,,61,
2016,Erie,Lake Trout,,,,,,,,
2017,Erie,Lake Trout,,,,,,,,
2018,Erie,Lake Trout,,,,,,,,
2019,Erie,Lake Trout,,,,,,,,
2020,Erie,Lake Trout,,,,,,,,
1867,Erie,Lake Whitefish,,,,,,971,971,
1868,Erie,Lake Whitefish,,,,,,901,901,
1869,Erie,Lake Whitefish,,,,,,211,211,
1870,Erie,Lake Whitefish,,,,,,291,291,
1871,Erie,Lake Whitefish,,,,,,65,65,
1872,Erie,Lake Whitefish,,,,,,185,185,
1873,Erie,Lake Whitefish,,,,,,248,248,
1874,Erie,Lake Whitefish,,,,,,111,111,
1875,Erie,Lake Whitefish,,,,,,126,126,
1876,Erie,Lake Whitefish,,,,,,99,99,
1877,Erie,Lake Whitefish,,,,,,141,141,
1878,Erie,Lake Whitefish,,,,,,183,183,
1879,Erie,Lake Whitefish,,,,,3334,203,3537,
1880,Erie,Lake Whitefish,,,,,,206,206,
1881,Erie,Lake Whitefish,,,,,,312,312,
1882,Erie,Lake Whitefish,,,,,,284,284,
1883,Erie,Lake Whitefish,,,,,,222,222,
1884,Erie,Lake Whitefish,,,,,,230,230,
1885,Erie,Lake Whitefish,133,30,1249,2120,3532,186,3718,
1886,Erie,Lake Whitefish,,,,,,142,142,
1887,Erie,Lake Whitefish,,,,,,333,333,
1888,Erie,Lake Whitefish,,,,,,390,390,
1889,Erie,Lake Whitefish,50,371,1743,1160,3324,306,3630,
1890,Erie,Lake Whitefish,136,318,1130,758,2342,204,2546,
1891,Erie,Lake Whitefish,144,,,,,350,350,
1892,Erie,Lake Whitefish,143,,,,,312,312,
1893,Erie,Lake Whitefish,61,,,,1292,256,1548,
1894,Erie,Lake Whitefish,75,,,,,153,153,
1895,Erie,Lake Whitefish,104,,,,,148,148,
1896,Erie,Lake Whitefish,59,,,,,126,126,
1897,Erie,Lake Whitefish,147,58,400,169,774,270,1044,
1898,Erie,Lake Whitefish,108,,,,,245,245,
1899,Erie,Lake Whitefish,315,172,1050,616,2153,431,2584,
1900,Erie,Lake Whitefish,251,,,,,401,401,
1901,Erie,Lake Whitefish,282,,,,,526,526,
1902,Erie,Lake Whitefish,226,,,,,450,450,
1903,Erie,Lake Whitefish,57,52,172,53,334,303,637,
1904,Erie,Lake Whitefish,96,,,,,364,364,
1905,Erie,Lake Whitefish,133,,,,,304,304,
1906,Erie,Lake Whitefish,187,,,,,359,359,
1907,Erie,Lake Whitefish,230,,,,,634,634,
1908,Erie,Lake Whitefish,236,123,732,455,1546,826,2372,
1909,Erie,Lake Whitefish,,,,,,2597,2597,
1910,Erie,Lake Whitefish,,,,,,1384,1384,
1911,Erie,Lake Whitefish,,,,,,1139,1139,
1912,Erie,Lake Whitefish,341,,,,341,2581,2922,
1913,Erie,Lake Whitefish,411,16,246,836,1509,1980,3489,OH: records cover part of season
1914,Erie,Lake Whitefish,274,58,1205,596,2133,1993,4126,
1915,Erie,Lake Whitefish,33,100,653,359,1145,1832,2977,
1916,Erie,Lake Whitefish,107,123,683,18,931,1086,2017,
1917,Erie,Lake Whitefish,187,164,1404,22,1777,1240,3017,
1918,Erie,Lake Whitefish,227,159,1028,187,1601,1128,2729,
1919,Erie,Lake Whitefish,69,94,1084,464,1711,1094,2805,
1920,Erie,Lake Whitefish,36,89,934,367,1426,838,2264,
1921,Erie,Lake Whitefish,14,98,321,490,923,967,1890,
1922,Erie,Lake Whitefish,12,205,209,362,788,752,1540,
1923,Erie,Lake Whitefish,0,234,188,67,489,536,1025,
1924,Erie,Lake Whitefish,1,71,148,112,332,580,912,
1925,Erie,Lake Whitefish,0,,300,,583,1033,1616,
1926,Erie,Lake Whitefish,0,110,245,605,960,868,1828,
1927,Erie,Lake Whitefish,,94,242,288,624,748,1372,
1928,Erie,Lake Whitefish,1,156,415,402,974,988,1962,
1929,Erie,Lake Whitefish,0,227,535,317,1079,1268,2347,
1930,Erie,Lake Whitefish,1,169,597,755,1522,1088,2610,
1931,Erie,Lake Whitefish,3,54,572,644,1273,1106,2379,
1932,Erie,Lake Whitefish,19,195,507,447,1168,912,2080,
1933,Erie,Lake Whitefish,4,132,197,664,997,710,1707,
1934,Erie,Lake Whitefish,2,35,279,463,779,916,1695,
1935,Erie,Lake Whitefish,2,29,477,487,995,1190,2185,
1936,Erie,Lake Whitefish,1,23,330,804,1158,1768,2926,
1937,Erie,Lake Whitefish,1,94,123,429,647,1401,2048,
1938,Erie,Lake Whitefish,2,91,292,526,911,1002,1913,
1939,Erie,Lake Whitefish,1,123,995,980,2099,2312,4411,
1940,Erie,Lake Whitefish,2,433,643,1564,2642,3136,5778,
1941,Erie,Lake Whitefish,7,409,808,1222,2446,3359,5805,
1942,Erie,Lake Whitefish,4,417,717,786,1924,2524,4448,
1943,Erie,Lake Whitefish,6,160,343,440,949,1481,2430,
1944,Erie,Lake Whitefish,1,50,165,352,568,1259,1827,
1945,Erie,Lake Whitefish,6,55,430,409,900,1689,2589,
1946,Erie,Lake Whitefish,1,8,589,199,797,1932,2729,
1947,Erie,Lake Whitefish,2,147,995,630,1774,2726,4500,
1948,Erie,Lake Whitefish,9,302,1617,862,2790,3800,6590,
1949,Erie,Lake Whitefish,,1013,737,1728,3478,3620,7098,
1950,Erie,Lake Whitefish,1,155,603,846,1605,1390,2995,
1951,Erie,Lake Whitefish,0,137,375,374,886,1130,2016,
1952,Erie,Lake Whitefish,1,362,213,782,1358,1424,2782,
1953,Erie,Lake Whitefish,,361,136,613,1110,1641,2751,
1954,Erie,Lake Whitefish,0,96,145,146,387,556,943,
1955,Erie,Lake Whitefish,0,70,118,186,374,399,773,
1956,Erie,Lake Whitefish,,21,115,310,446,542,988,
1957,Erie,Lake Whitefish,,138,125,491,754,536,1290,
1958,Erie,Lake Whitefish,0,16,64,96,176,383,559,
1959,Erie,Lake Whitefish,0,3,24,19,46,87,133,
1960,Erie,Lake Whitefish,0,1,10,5,16,21,37,
1961,Erie,Lake Whitefish,,0,4,2,6,9,15,
1962,Erie,Lake Whitefish,,0,1,2,3,10,13,
1963,Erie,Lake Whitefish,,0,1,6,7,11,18,
1964,Erie,Lake Whitefish,,0,1,2,3,3,6,
1965,Erie,Lake Whitefish,0,0,6,0,6,,6,
1966,Erie,Lake Whitefish,0,0,2,1,3,6,9,"OH: Minimum size limit changed from 1-3/4 pounds to 17'', 1 March 1966"
1967,Erie,Lake Whitefish,0,,2,0,2,0,2,
1968,Erie,Lake Whitefish,0,0,1,0,1,1,2,
1969,Erie,Lake Whitefish,0,0,1,0,1,1,2,
1970,Erie,Lake Whitefish,0,0,0,0,0,0,0,
1971,Erie,Lake Whitefish,0,0,0,0,0,1,1,
1972,Erie,Lake Whitefish,0,0,0,1,1,1,2,
